Manga ID,Manga URL,English Title,Synonims Titles,Japanese Title,Type,Volumes,Chapters,Status,Published,Published Dates,Genres,Author,Serialization,Score,Ranked,Popularity,Members,Favorites,Score Voted By
2,https://myanimelist.net/manga/2/Berserk,Berserk,Berserk: The Prototype,ベルセルク,Manga,Unknown,Unknown,Publishing,"Aug  25, 1989 to ?","{'from': '1989-08-25', 'to': 'Unknown'}","['Action', 'Adventure', 'Demons', 'Drama', 'Fantasy', 'Horror', 'Supernatural', 'Military', 'Psychological', 'Seinen']","['Miura, Kentarou (Story & Art)']",Young Animal,9.33,1,4,296958,61992,139571
1706,https://myanimelist.net/manga/1706/JoJo_no_Kimyou_na_Bouken_Part_7__Steel_Ball_Run,Unknown,"JoJo's Bizarre Adventure Part 7: Steel Ball Run, SBR",ジョジョの奇妙な冒険 Part7 STEEL BALL RUN,Manga,24,96,Finished,"Jan  19, 2004 to Apr  19, 2011","{'from': '2004-01-19', 'to': '2011-04-19'}","['Action', 'Adventure', 'Mystery', 'Historical', 'Horror', 'Shounen', 'Supernatural']","['Araki, Hirohiko (Story & Art)']",Ultra Jump,9.21,2,50,97073,18083,54901
25,https://myanimelist.net/manga/25/Fullmetal_Alchemist,Fullmetal Alchemist,"Full Metal Alchemist, Hagane no Renkinjutsushi, FMA, HagaRen, Fullmetal Alchemist Gaiden",鋼の錬金術師,Manga,27,116,Finished,"Jul  12, 2001 to Sep  11, 2010","{'from': '2001-07-12', 'to': '2010-09-11'}","['Action', 'Adventure', 'Comedy', 'Drama', 'Shounen', 'Military']","['Arakawa, Hiromu (Story & Art)']",Shounen Gangan,9.12,3,11,197562,26386,110885
13,https://myanimelist.net/manga/13/One_Piece,One Piece,Unknown,ONE PIECE,Manga,Unknown,Unknown,Publishing,"Jul  22, 1997 to ?","{'from': '1997-07-22', 'to': 'Unknown'}","['Action', 'Adventure', 'Comedy', 'Fantasy', 'Shounen', 'Super', 'Super']","['Oda, Eiichiro (Story & Art)']",Shounen Jump (Weekly),9.08,4,2,306944,75106,185560
1,https://myanimelist.net/manga/1/Monster,Monster,Unknown,MONSTER,Manga,18,162,Finished,"Dec  5, 1994 to Dec  20, 2001","{'from': '1994-12-05', 'to': '2001-12-20'}","['Mystery', 'Drama', 'Psychological', 'Seinen']","['Urasawa, Naoki (Story & Art)']",Big Comic Original,9.07,5,39,103030,10000,41412
656,https://myanimelist.net/manga/656/Vagabond,Vagabond,Unknown,バガボンド,Manga,37,327,On Hiatus,"Mar  23, 1999 to May  21, 2015","{'from': '1999-03-23', 'to': '2015-05-21'}","['Action', 'Adventure', 'Drama', 'Historical', 'Samurai', 'Seinen']","['Inoue, Takehiko (Story & Art)', ' Yoshikawa, Eiji (Story)']",Morning,9.05,6,22,134645,14596,46282
4632,https://myanimelist.net/manga/4632/Oyasumi_Punpun,Goodnight Punpun,Unknown,おやすみプンプン,Manga,13,147,Finished,"Mar  15, 2007 to Nov  2, 2013","{'from': '2007-03-15', 'to': '2013-11-02'}","['Drama', 'Slice', 'Slice', 'Psychological', 'Seinen']","['Asano, Inio (Story & Art)']",Big Comic Spirits,9.03,7,12,182755,25247,70638
16765,https://myanimelist.net/manga/16765/Kingdom,Unknown,Unknown,キングダム,Manga,Unknown,Unknown,Publishing,"Jan  26, 2006 to ?","{'from': '2006-01-26', 'to': 'Unknown'}","['Action', 'Drama', 'Historical', 'Military', 'Seinen']","['Hara, Yasuhisa (Story & Art)']",Young Jump,9.01,8,78,73634,7969,28524
70345,https://myanimelist.net/manga/70345/Grand_Blue,Grand Blue Dreaming,Unknown,ぐらんぶる,Manga,Unknown,Unknown,Publishing,"Apr  7, 2014 to ?","{'from': '2014-04-07', 'to': 'Unknown'}","['Comedy', 'Slice', 'Slice', 'Seinen']","['Inoue, Kenji (Story)', ' Yoshioka, Kimitake (Art)']",good! Afternoon,9.0,9,71,76527,7363,26582
51,https://myanimelist.net/manga/51/Slam_Dunk,Slam Dunk,Unknown,SLAM DUNK,Manga,31,276,Finished,"Sep  18, 1990 to Jun  4, 1996","{'from': '1990-09-18', 'to': '1996-06-04'}","['Comedy', 'Drama', 'School', 'Shounen', 'Sports']","['Inoue, Takehiko (Story & Art)']",Shounen Jump (Weekly),8.98,10,89,69802,8049,34574
3,https://myanimelist.net/manga/3/20th_Century_Boys,20th Century Boys,"20 Seiki Shounen, Nijuu Seiki Shounen, Nijuusseiki Shounen, 20thCB",20世紀少年,Manga,22,249,Finished,"Sep  27, 1999 to Apr  24, 2006","{'from': '1999-09-27', 'to': '2006-04-24'}","['Mystery', 'Drama', 'Historical', 'Sci', 'Sci', 'Psychological', 'Seinen']","['Urasawa, Naoki (Story & Art)']",Big Comic Spirits,8.96,11,37,104666,10822,40663
14893,https://myanimelist.net/manga/14893/Monogatari_Series__First_Season,Unknown,"Bakemonogatari, Monster Tale, Kizumonogatari: Wound Tale, Nisemonogatari, Fake Tale, Nekomonogatari: Kuro, Black",〈物語〉シリーズ ファーストシーズン,Novel,6,107,Finished,"Nov  1, 2006 to Jul  28, 2010","{'from': '2006-11-01', 'to': '2010-07-28'}","['Action', 'Comedy', 'Mystery', 'Romance', 'Vampire', 'Supernatural']","['NISIO, ISIN (Story)', ' VOFAN (Art)']",Mephisto,8.94,12,257,33915,1892,8418
121496,https://myanimelist.net/manga/121496/Solo_Leveling,Unknown,"Na Honjaman Level Up, I Level Up Alone",나 혼자만 레벨업,Manhwa,Unknown,Unknown,Publishing,"Mar  4, 2018 to ?","{'from': '2018-03-04', 'to': 'Unknown'}","['Action', 'Adventure', 'Fantasy']","['Chugong (Story)', ' Jang, Sung-rak (Art)']",Kakao,8.94,13,57,89052,10041,47106
90125,https://myanimelist.net/manga/90125/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,Kaguya-sama: Love is War,Kaguya Wants to be Confessed To: The Geniuses' War of Love and Brains,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,Manga,Unknown,Unknown,Publishing,"May  19, 2015 to ?","{'from': '2015-05-19', 'to': 'Unknown'}","['Comedy', 'Romance', 'School', 'Seinen']","['Akasaka, Aka (Story & Art)']",Young Jump,8.93,14,43,101451,11289,38322
40171,https://myanimelist.net/manga/40171/Yahari_Ore_no_Seishun_Love_Comedy_wa_Machigatteiru,"My Youth Romantic Comedy Is Wrong, As I Expected","Oregairu, My Teen Romantic Comedy SNAFU",やはり俺の青春ラブコメはまちがっている。,Novel,Unknown,Unknown,Publishing,"Mar  23, 2011 to ?","{'from': '2011-03-23', 'to': 'Unknown'}","['Comedy', 'Romance', 'School']","['Watari, Wataru (Story)', ' Ponkan⑧ (Art)']",None,8.9,15,168,45120,3890,11021
91941,https://myanimelist.net/manga/91941/Made_in_Abyss,Made in Abyss,Unknown,メイドインアビス,Manga,Unknown,Unknown,Publishing,"Oct  20, 2012 to ?","{'from': '2012-10-20', 'to': 'Unknown'}","['Adventure', 'Drama', 'Fantasy', 'Sci', 'Sci']","['Tsukushi, Akihito (Story & Art)']",Web Comic Gamma,8.89,16,74,75981,6217,25646
336,https://myanimelist.net/manga/336/GTO,GTO: Great Teacher Onizuka,GTO: Tomoko's Big Adventures,GTO,Manga,25,208,Finished,"Dec  11, 1996 to Jan  30, 2002","{'from': '1996-12-11', 'to': '2002-01-30'}","['Action', 'Comedy', 'Drama', 'Ecchi', 'School', 'Shounen']","['Fujisawa, Tohru (Story & Art)']",Shounen Magazine (Weekly),8.89,17,58,89013,8087,40833
9115,https://myanimelist.net/manga/9115/Ookami_to_Koushinryou,Spice & Wolf,"Okami to Koshinryo, Spice and Wolf",狼と香辛料,Novel,Unknown,Unknown,Publishing,"Feb  10, 2006 to ?","{'from': '2006-02-10', 'to': 'Unknown'}","['Adventure', 'Drama', 'Fantasy', 'Historical', 'Romance', 'Supernatural']","['Hasekura, Isuna (Story)', ' Ayakura, Juu (Art)']",None,8.89,18,176,44065,3680,11239
23751,https://myanimelist.net/manga/23751/Monogatari_Series__Second_Season,Unknown,"Nekomonogatari: Shiro, White, Kabukimonogatari, Hanamonogatari, Otorimonogatari, Onimonogatari, Koimonogatari",〈物語〉シリーズ セカンドシーズン,Novel,6,199,Finished,"Oct  27, 2010 to Dec  20, 2011","{'from': '2010-10-27', 'to': '2011-12-20'}","['Comedy', 'Mystery', 'Drama', 'Vampire', 'Supernatural']","['NISIO, ISIN (Story)', ' VOFAN (Art)']",None,8.88,19,881,12061,367,2904
104,https://myanimelist.net/manga/104/Yotsuba_to,Yotsuba&!,Yotsuba and!,よつばと!,Manga,Unknown,Unknown,Publishing,"Mar  21, 2003 to ?","{'from': '2003-03-21', 'to': 'Unknown'}","['Comedy', 'Slice', 'Slice']","['Azuma, Kiyohiko (Story & Art)']",Dengeki Daioh,8.87,20,52,95958,12189,36698
642,https://myanimelist.net/manga/642/Vinland_Saga,Vinland Saga,Unknown,ヴィンランド・サガ,Manga,Unknown,Unknown,Publishing,"Apr  13, 2005 to ?","{'from': '2005-04-13', 'to': 'Unknown'}","['Action', 'Adventure', 'Drama', 'Historical', 'Seinen']","['Yukimura, Makoto (Story & Art)']",Afternoon,8.87,21,28,117331,12478,44184
651,https://myanimelist.net/manga/651/Kaze_no_Tani_no_Nausica%C3%A4,Nausicaä of the Valley of the Wind,Kaze no Tani no Nausicaa,風の谷のナウシカ,Manga,7,59,Finished,"Oct  9, 1982 to Feb  10, 1994","{'from': '1982-10-09', 'to': '1994-02-10'}","['Action', 'Adventure', 'Fantasy', 'Supernatural']","['Miyazaki, Hayao (Story & Art)']",Animage,8.86,22,236,35893,2752,11345
56805,https://myanimelist.net/manga/56805/Koe_no_Katachi,A Silent Voice,The Shape of Voice,聲の形,Manga,7,64,Finished,"Aug  7, 2013 to Nov  19, 2014","{'from': '2013-08-07', 'to': '2014-11-19'}","['Drama', 'School', 'Shounen']","['Ooima, Yoshitoki (Story & Art)']",Shounen Magazine (Weekly),8.86,23,13,179388,17919,97408
21525,https://myanimelist.net/manga/21525/Akatsuki_no_Yona,Yona of the Dawn,Yona: The Girl Standing in the Blush of Dawn,暁のヨナ,Manga,Unknown,Unknown,Publishing,"Aug  5, 2009 to ?","{'from': '2009-08-05', 'to': 'Unknown'}","['Action', 'Comedy', 'Fantasy', 'Romance', 'Shoujo']","['Kusanagi, Mizuho (Story & Art)']",Hana to Yume,8.85,24,72,76447,9215,28874
1303,https://myanimelist.net/manga/1303/Ashita_no_Joe,Unknown,"Rocky Joe, Tomorrow's Joe",あしたのジョー,Manga,20,171,Finished,"Jan  1, 1968 to May  13, 1973","{'from': '1968-01-01', 'to': '1973-05-13'}","['Drama', 'Shounen', 'Sports', 'Slice', 'Slice']","['Kajiwara, Ikki (Story)', ' Chiba, Tetsuya (Art)']",Shounen Magazine (Weekly),8.85,25,423,22101,2218,7429
55215,https://myanimelist.net/manga/55215/Utsuro_no_Hako_to_Zero_no_Maria,The Empty Box and Zeroth Maria,HakoMari,空ろの箱と零のマリア,Novel,7,40,Finished,"Jan  10, 2009 to Jun  10, 2015","{'from': '2009-01-10', 'to': '2015-06-10'}","['Action', 'Mystery', 'Drama', 'Horror', 'Romance', 'School', 'Supernatural', 'Psychological', 'Thriller']","['Mikage, Eiji (Story)', ' Tetsuo (Art)']",None,8.84,26,70,76928,4771,15164
35243,https://myanimelist.net/manga/35243/Haikyuu,Haikyu!!,"High Kyuu!!, HQ!!, Nisekyuu!!",ハイキュー!!,Manga,Unknown,Unknown,Publishing,"Feb  20, 2012 to ?","{'from': '2012-02-20', 'to': 'Unknown'}","['Comedy', 'Drama', 'School', 'Shounen', 'Sports']","['Furudate, Haruichi (Story & Art)']",Shounen Jump (Weekly),8.83,27,56,91000,8489,36818
14483,https://myanimelist.net/manga/14483/Uchuu_Kyoudai,Space Brothers,Uchu Kyodai,宇宙兄弟,Manga,Unknown,Unknown,Publishing,"Dec  6, 2007 to ?","{'from': '2007-12-06', 'to': 'Unknown'}","['Drama', 'Sci', 'Sci', 'Space', 'Seinen']","['Koyama, Chuuya (Story & Art)']",Morning,8.82,28,524,18647,1075,5004
1224,https://myanimelist.net/manga/1224/3-gatsu_no_Lion,Unknown,"Sangatsu no Lion, March Comes in Like a Lion, Lion of March",3月のライオン,Manga,Unknown,Unknown,Publishing,"Jul  13, 2007 to ?","{'from': '2007-07-13', 'to': 'Unknown'}","['Drama', 'Game', 'Slice', 'Slice', 'Seinen']","['Umino, Chika (Story & Art)']",Young Animal,8.81,29,276,32001,2240,9035
44227,https://myanimelist.net/manga/44227/Monogatari_Series__Final_Season,Unknown,"Tsukimonogatari, Koyomimonogatari, Zoku Owarimonogatari",〈物語〉シリーズ ファイナルシーズン,Novel,6,231,Finished,"Sep  28, 2012 to Sep  18, 2014","{'from': '2012-09-28', 'to': '2014-09-18'}","['Comedy', 'Mystery', 'Vampire', 'Supernatural']","['NISIO, ISIN (Story)', ' VOFAN (Art)']",None,8.8,30,1119,9879,246,1919
44347,https://myanimelist.net/manga/44347/One_Punch-Man,One-Punch Man,"Onepunchman, Onepanman, OPM",ワンパンマン,Manga,Unknown,Unknown,Publishing,"Jun  14, 2012 to ?","{'from': '2012-06-14', 'to': 'Unknown'}","['Action', 'Comedy', 'Parody', 'Sci', 'Sci', 'Super', 'Super', 'Supernatural']","['Murata, Yusuke (Art)', ' ONE (Story)']",Tonari no Young Jump,8.77,31,7,249062,23503,117345
44489,https://myanimelist.net/manga/44489/Houseki_no_Kuni,Land of the Lustrous,Unknown,宝石の国,Manga,Unknown,Unknown,Publishing,"Oct  25, 2012 to ?","{'from': '2012-10-25', 'to': 'Unknown'}","['Action', 'Fantasy', 'Seinen']","['Ichikawa, Haruko (Story & Art)']",Afternoon,8.77,32,193,41565,4302,12246
418,https://myanimelist.net/manga/418/Mushishi,Mushishi,Mushi-shi,蟲師,Manga,10,50,Finished,"Nov 1999 to Aug  25, 2008","{'from': '1999-11-00', 'to': '2008-08-25'}","['Mystery', 'Fantasy', 'Historical', 'Supernatural', 'Seinen']","['Urushibara, Yuki (Story & Art)']",Afternoon,8.77,33,163,46511,2298,12793
122663,https://myanimelist.net/manga/122663/Tower_of_God,Tower of God,Sin-ui Tap,신의 탑,Manhwa,Unknown,Unknown,Publishing,"Jul  5, 2010 to ?","{'from': '2010-07-05', 'to': 'Unknown'}","['Action', 'Adventure', 'Mystery', 'Drama', 'Fantasy']",['SIU (Story & Art)'],Naver Webtoon,8.76,34,120,59474,5946,24687
4,https://myanimelist.net/manga/4/Yokohama_Kaidashi_Kikou,Unknown,"Yokohama Shopping Log, Yokohama Shopping Trip, Touge",ヨコハマ買い出し紀行,Manga,14,142,Finished,"Apr  25, 1994 to Feb  25, 2006","{'from': '1994-04-25', 'to': '2006-02-25'}","['Drama', 'Sci', 'Sci', 'Slice', 'Slice', 'Seinen']","['Ashinano, Hitoshi (Story & Art)']",Afternoon,8.73,35,206,39806,3448,11067
21,https://myanimelist.net/manga/21/Death_Note,Death Note,Unknown,DEATH NOTE,Manga,12,108,Finished,"Dec  1, 2003 to May  15, 2006","{'from': '2003-12-01', 'to': '2006-05-15'}","['Mystery', 'Drama', 'Shounen', 'Supernatural', 'Psychological']","['Obata, Takeshi (Art)', ' Ohba, Tsugumi (Story)']",Shounen Jump (Weekly),8.73,36,8,247508,29035,149712
657,https://myanimelist.net/manga/657/Real,Real,Unknown,リアル,Manga,Unknown,Unknown,Publishing,1999 to ?,"{'from': '1999-00-00', 'to': 'Unknown'}","['Drama', 'Sports', 'Psychological', 'Seinen']","['Inoue, Takehiko (Story & Art)']",Young Jump,8.73,37,288,31030,1394,7176
1859,https://myanimelist.net/manga/1859/Natsume_Yuujinchou,Natsume's Book of Friends,"The Natsume Book of Friends, Manabiya no Sumi, Natsu ni wa Tameiki wo Tsuku",夏目友人帳,Manga,Unknown,Unknown,Publishing,"Jun  10, 2003 to ?","{'from': '2003-06-10', 'to': 'Unknown'}","['Drama', 'Shoujo', 'Supernatural']","['Midorikawa, Yuki (Story & Art)']",LaLa DX,8.73,38,297,30104,1852,8350
81669,https://myanimelist.net/manga/81669/Overlord,Overlord,Over Lord,オーバーロード,Novel,Unknown,Unknown,Publishing,"Jul  30, 2012 to ?","{'from': '2012-07-30', 'to': 'Unknown'}","['Action', 'Fantasy', 'Game', 'Magic', 'Supernatural']","['Maruyama, Kugane (Story)', ' so-bin (Art)']",None,8.73,39,229,36346,2478,12174
100448,https://myanimelist.net/manga/100448/Jumyou_wo_Kaitotte_Moratta_Ichinen_ni_Tsuki_Ichimanen_de,I sold my life for ten thousand yen per year.,"Mikkakan no Koufuku, Three Days of Happiness",寿命を買い取ってもらった。一年につき、一万円で。,Manga,3,18,Finished,"Aug  10, 2016 to Oct  25, 2017","{'from': '2016-08-10', 'to': '2017-10-25'}","['Drama', 'Shounen']","['Taguchi, Shouichi (Art)', ' Miaki, Sugaru (Story)']",Shounen Jump+,8.72,40,186,42114,3297,20693
664,https://myanimelist.net/manga/664/Akira,Akira,Unknown,AKIRA,Manga,6,120,Finished,"Dec  6, 1982 to Jun  11, 1990","{'from': '1982-12-06', 'to': '1990-06-11'}","['Action', 'Sci', 'Sci', 'Seinen']","['Otomo, Katsuhiro (Story & Art)']",Young Magazine (Weekly),8.72,41,92,68965,4770,24654
28,https://myanimelist.net/manga/28/Nana,Nana,Unknown,NANA,Manga,21,84,On Hiatus,"May  26, 2000 to May  26, 2009","{'from': '2000-05-26', 'to': '2009-05-26'}","['Drama', 'Music', 'Romance', 'Shoujo', 'Slice', 'Slice']","['Yazawa, Ai (Story & Art)']",Cookie,8.7,42,106,64056,7235,25381
26,https://myanimelist.net/manga/26/Hunter_x_Hunter,Hunter x Hunter,HxH,HUNTER×HUNTER,Manga,Unknown,Unknown,Publishing,"Mar  3, 1998 to ?","{'from': '1998-03-03', 'to': 'Unknown'}","['Action', 'Adventure', 'Fantasy', 'Shounen', 'Super', 'Super']","['Togashi, Yoshihiro (Story & Art)']",Shounen Jump (Weekly),8.69,43,17,148593,16397,70700
11734,https://myanimelist.net/manga/11734/Watashitachi_no_Shiawase_na_Jikan,Unknown,"Watashi-tachi no Shiawase na Jikan, Our Happy Hours, Our Happy Time",私たちの幸せな時間,Manga,1,8,Finished,"Mar  28, 2008 to Aug  22, 2008","{'from': '2008-03-28', 'to': '2008-08-22'}","['Drama', 'Music', 'Romance', 'Slice', 'Slice', 'Psychological', 'Seinen']","['Yumeka, Sumomo (Art)']",Comic Bunch,8.69,44,67,81505,4394,40548
89357,https://myanimelist.net/manga/89357/Youkoso_Jitsuryoku_Shijou_Shugi_no_Kyoushitsu_e,Classroom of the Elite,Unknown,ようこそ実力至上主義の教室へ,Novel,Unknown,Unknown,Publishing,"May  25, 2015 to ?","{'from': '2015-05-25', 'to': 'Unknown'}","['Drama', 'School', 'Psychological']","['Tomose, Shunsaku (Art)', ' Kinugasa, Shougo (Story)']",None,8.69,45,459,20476,1256,4459
78523,https://myanimelist.net/manga/78523/ReLIFE,ReLIFE,Unknown,ReLIFE,Manga,Unknown,237,Finished,"Oct  12, 2013 to Mar  16, 2018","{'from': '2013-10-12', 'to': '2018-03-16'}","['Comedy', 'Drama', 'Romance', 'School', 'Slice', 'Slice']","['Yayoi, Sou (Story & Art)']",comico,8.68,46,44,101205,9126,49908
24875,https://myanimelist.net/manga/24875/Shinyaku_Toaru_Majutsu_no_Index,Unknown,A Certain Magical Index: New Testament,新約 とある魔術の禁書目録,Novel,23,178,Finished,"Mar  10, 2011 to Jul  10, 2019","{'from': '2011-03-10', 'to': '2019-07-10'}","['Action', 'Comedy', 'Fantasy', 'Magic', 'Sci', 'Sci', 'Super', 'Super', 'Supernatural']","['Kamachi, Kazuma (Story)', ' Haimura, Kiyotaka (Art)']",None,8.68,47,1144,9669,740,2767
7,https://myanimelist.net/manga/7/Hajime_no_Ippo,Unknown,"The Fighting!, Fighting Spirit, The Fighting! Ippo, Hajime no Ippo Gaiden: Naniwa Tiger",はじめの一歩,Manga,Unknown,Unknown,Publishing,"Sep  27, 1989 to ?","{'from': '1989-09-27', 'to': 'Unknown'}","['Action', 'Comedy', 'Drama', 'Shounen', 'Sports']","['Morikawa, George (Story & Art)']",Shounen Magazine (Weekly),8.68,48,158,48463,4707,22862
145,https://myanimelist.net/manga/145/Beck,BECK: Mongolian Chop Squad,Unknown,BECK,Manga,34,103,Finished,"Feb  17, 2000 to Jun  5, 2008","{'from': '2000-02-17', 'to': '2008-06-05'}","['Comedy', 'Drama', 'Music', 'Romance', 'Shounen', 'Slice', 'Slice']","['Sakuishi, Harold (Story & Art)']",Shounen Magazine (Monthly),8.68,49,207,39729,3111,17352
904,https://myanimelist.net/manga/904/Kozure_Ookami,Lone Wolf & Cub,Lone Wolf and Cub,子連れ狼,Manga,28,142,Finished,Sep 1970 to Apr 1976,"{'from': '1970-09-00', 'to': '1976-04-00'}","['Action', 'Historical', 'Samurai', 'Seinen']","['Koike, Kazuo (Story)', ' Kojima, Goseki (Art)']",Manga Action,8.67,50,358,26258,1146,4551
